i_index,alpha_i,phi_A,phi_B,phi_C,phi_D,phi_E,total_CS_change_per_trip,CS_toll_per_trip,CS_other_per_trip,trips_23,trips_25,trip_weight,phi_A_weighted,phi_B_weighted,phi_C_weighted,phi_D_weighted,phi_E_weighted,total_CS_change,CS_toll,CS_other,direct_CS_change_per_trip,direct_CS_change,decomposition_error,origin_county,Pop_group,Trip_purpose,Time_period,Trip_num,origin_region
11,0.0395937767091697,-0.0005079067987802914,0.014074029141042853,-0.002817185375656412,0.0,0.0,0.01074893696660615,-0.0033250921744367033,0.014074029141042853,36355.42006440011,36421.969164481445,36388.69461444078,-18.482065393414246,512.1355484081486,-102.5136983070298,0.0,0.0,391.1397847077046,-120.99576370044404,512.1355484081486,0.010748936966606148,391.1397847077045,1.1368683772161603e-13,09001,Senior,Other,Overnight,36355,CTS & PAS
12,0.0442705807156651,-0.0013993699315714208,0.012409238757613038,-0.0013129291974706356,0.0,0.0,0.00969693962857098,-0.002712299129042056,0.012409238757613038,187236.37255183264,187236.37415866886,187236.37335525075,-262.01295096981823,2323.460861074883,-245.82810140662164,0.0,0.0,1815.6198086984425,-507.84105237643985,2323.460861074883,0.009696939628581015,1815.6198087003215,-1.8790160538628697e-09,09001,Senior,Other,Peak,187236,CTS & PAS
13,0.053340320170732404,-0.0004674404907452548,0.017683739801723095,0.0004967601572458979,0.0,0.0,0.017713059468223737,2.9319666500643123e-05,0.017683739801723095,11522.330663465655,11550.327530135031,11536.329096800342,-5.392547334407114,204.00544201486446,5.730788656166965,0.0,0.0,204.3436833366243,0.33824132175985155,204.00544201486446,0.017713059468219577,204.3436833365763,4.800426722795237e-11,09001,Student,Commute,Overnight,11522,CTS & PAS
14,0.077796230066411,-0.00027185954723577883,0.006426539287759399,0.0015081908696970557,0.0,0.0,0.0076628706102206765,0.0012363313224612769,0.006426539287759399,435352.2372791138,435352.3435740182,435352.29042656603,-118.35467656342553,2797.8085984423665,656.5943495230478,0.0,0.0,3336.048271401989,538.2396729596222,2797.8085984423665,0.007662870610220675,3336.0482714019886,4.547473508864641e-13,09001,Student,Commute,Peak,435352,CTS & PAS
15,0.0381207077940872,-0.0005949396103310535,0.012509548863932018,-0.0038521484770110193,0.0,0.0,0.008062460776589946,-0.004447088087342073,0.012509548863932018,31607.540719970373,31671.804763998065,31639.67274198422,-18.82369457211815,395.79803220466954,-121.88071716616157,0.0,0.0,255.09362046638984,-140.70441173827973,395.79803220466954,0.008062460776589946,255.09362046638984,0.0,09001,Student,Other,Overnight,31607,CTS & PAS
16,0.0469675885645889,-0.001323059716286648,0.010539583376615157,-0.001641474889438829,0.0,0.0,0.007575048770889681,-0.002964534605725477,0.010539583376615157,188438.9115406572,188438.89123736662,188438.9013890119,-249.31591940911372,1986.0675125872528,-309.3177248235027,0.0,0.0,1427.4338683546364,-558.6336442326165,1986.0675125872528,0.0075750487708896785,1427.433868354636,4.547473508864641e-13,09001,Student,Other,Peak,188438,CTS & PAS
17,0.054662282421105,-0.0004920576345670778,0.038733938228888015,-0.002313487314980903,0.0,0.0,0.03592839327934003,-0.0028055449495479807,0.038733938228888015,1997.7389858389022,2001.0958426583566,1999.4174142486295,-0.9838286033674036,77.44531061726941,-4.625626825216122,0.0,0.0,71.83585518868588,-5.609455428583526,77.44531061726941,0.03592839327934003,71.83585518868588,0.0,09005,LowIncome,Commute,Overnight,1996,CTS & PAS
18,0.0459561640305671,-0.0011095086280634805,0.019986301819054808,-0.001334455061729402,0.0,0.0,0.017542338129261925,-0.0024439636897928825,0.019986301819054808,22009.52296961205,22009.307610045216,22009.415289828634,-24.41963616269716,439.88681684343476,-29.370575639216312,0.0,0.0,386.09660504152123,-53.79021180191347,439.88681684343476,0.01754233812926193,386.09660504152134,-1.1368683772161603e-13,09005,LowIncome,Commute,Peak,21988,CTS & PAS
19,0.0534696315933919,-0.00011451440178149925,0.011532544498524146,-0.0005662657605259162,0.0,0.0,0.01085176433621673,-0.0006807801623074154,0.011532544498524146,7408.279825888674,7411.84398623786,7410.061906063267,-0.8485588063367111,85.45686866849327,-4.196064340781036,0.0,0.0,80.41224552137552,-5.044623147117747,85.45686866849327,0.010851764336216731,80.41224552137554,-1.4210854715202004e-14,09005,LowIncome,Other,Overnight,7407,CTS & PAS
20,0.0666642693677195,-0.00016420215802538063,0.011768775002541096,-0.00015926286694446996,0.0,0.0,0.011445309977571245,-0.0003234650249698506,0.011768775002541096,43118.24297799662,43118.65314283243,43118.44806041452,-7.080142222225352,507.45131368177306,-6.867167656297837,0.0,0.0,493.5040038032498,-13.94730987852319,507.45131368177306,0.011445309977571245,493.5040038032498,0.0,09005,LowIncome,Other,Peak,43108,CTS & PAS
21,0.0358258339923212,-0.0006673573448776185,0.026000293318725116,-0.0040026063665537775,0.0,0.0,0.021330329607293717,-0.004669963711431396,0.026000293318725116,8864.122796996233,8888.541856207607,8876.33232660192,-5.923685573732431,230.78724408613166,-35.52846428210395,0.0,0.0,189.33509423029525,-41.452149855836375,230.78724408613166,0.021330329607293728,189.33509423029534,-8.526512829121202e-14,09005,NotLowIncome,Commute,Overnight,8858,CTS & PAS
22,0.0276844799617658,-0.0020713687355386015,0.0267118779178133,-0.0027409792899281385,0.0,0.0,0.02189952989234656,-0.00481234802546674,0.0267118779178133,113620.48038789483,113620.28389297453,113620.38214043468,-235.34970728564488,3035.0137767105857,-311.43111436065243,0.0,0.0,2488.2329550642885,-546.7808216462973,3035.0137767105857,0.02189952989234656,2488.2329550642885,0.0,09005,NotLowIncome,Commute,Peak,113549,CTS & PAS
23,0.0316658257335616,-0.00028793712389695145,0.016579599329812005,-0.0023690022382362105,0.0,0.0,0.013922659967678844,-0.002656939362133162,0.016579599329812005,30009.227732333646,30033.983705367937,30021.60571885079,-8.644334805454166,497.74619405613885,-71.12125114340255,0.0,0.0,417.98060810728214,-79.76558594885671,497.74619405613885,0.013922659967678844,417.98060810728214,0.0,09005,NotLowIncome,Other,Overnight,30006,CTS & PAS
24,0.020677710617295,-0.00042649899606876423,0.014137046199814792,-0.001321931510868049,0.0,0.0,0.012388615692877978,-0.0017484305069368133,0.014137046199814792,175570.28687994907,175572.63813584726,175571.46250789816,-74.88105249794324,2482.061876843207,-232.09344869837884,0.0,0.0,2175.0873756468845,-306.9745011963221,2482.061876843207,0.012388615692877978,2175.0873756468845,0.0,09005,NotLowIncome,Other,Peak,175551,CTS & PAS
