origin_county,Pop_group,Trip_purpose,Time_period,destination_county,origin_region,destination_region,mode,Trip_num,auto_tt,transit_ivt,transit_at,transit_et,transit_nt,non_auto_tt,cost,constant_driving,constant_transit,constant_ondemand,constant_biking,constant_walking,constant_carpool,market_id,alternative_id,All_trips,Trip_0,share,share_0,log_s_s0,log_s_s(mode),log_s_s(region),log_s_s(county),iv_auto_tt,iv_transit_ivt,iv_nonauto_tt,County_09001,County_09005,County_09009,County_34003,County_34013,County_34017,County_34019,County_34021,County_34023,County_34025,County_34027,County_34029,County_34031,County_34035,County_34037,County_34039,County_36005,County_36027,County_36047,County_36059,County_36061-0,County_36061-1,County_36071,County_36079,County_36081,County_36085,County_36087,County_36103,County_36111,County_36119,County_42103,OTP_transit_at,OTP_transit_et,OTP_transit_wt,OTP_transit_ivt,OTP_transit_nt,OTP_transit_cost,cost_new,transit_wt,From_NYC,To_NYC,Is_NYC,F_T_NYC,cost_new_NYC,auto_tt_NYC,transit_at_NYC,transit_et_NYC,transit_wt_NYC,transit_ivt_NYC,non_auto_tt_NYC
9001,LowIncome,Commute,Overnight,34017,CTS,NJS,driving,4,70.25,0,0,0,0,0,4.673593173,1,0,0,0,0,0,1,33,15924,144,0.000251193,0.009042954,-3.583518938,-7.571988449,-3.267665989,-0.916290732,71.02975358,114.309653,71.04756544,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.673593173,0,0,0,0,0,0,0,0,0,0,0,0
9001,LowIncome,Commute,Overnight,34017,CTS,NJS,transit,1,0,92.8872,15.498,17.6148,3,0,2.9,0,1,0,0,0,0,1,35,15924,144,6.28E-05,0.009042954,-4.9698133,-6.536691598,-4.65396035,-2.302585093,71.03405745,114.282033,71.03405745,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.498,17.6148,18.32514448,92.8872,3,0,4.25,18.32514448,0,0,0,0,0,0,0,0,0,0,0
9001,LowIncome,Commute,Overnight,34021,CTS,NJS,carpool,2,139,0,0,0,0,0,4.8982284,0,0,0,0,0,1,1,44,15924,144,0.000125597,0.009042954,-4.276666119,-7.8671055,-3.96081317,-0.693147181,71.02094007,114.2951633,71.03855954,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8982284,0,0,0,0,0,0,0,0,0,0,0,0
9001,LowIncome,Commute,Overnight,34021,CTS,NJS,driving,2,129,0,0,0,0,0,9.7964568,1,0,0,0,0,0,1,45,15924,144,0.000125597,0.009042954,-4.276666119,-8.26513563,-3.96081317,-0.693147181,71.02220766,114.2951633,71.03855954,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7964568,0,0,0,0,0,0,0,0,0,0,0,0
9001,LowIncome,Commute,Overnight,34023,CTS,NJS,carpool,3,102.3333333,0,0,0,0,0,4.806805643,0,0,0,0,0,1,1,50,15924,144,0.000188395,0.009042954,-3.871201011,-7.461640392,-3.555348061,-0.510825624,71.0236035,114.3024077,71.04306221,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.806805643,0,0,0,0,0,0,0,0,0,0,0,0
9001,LowIncome,Commute,Overnight,34023,CTS,NJS,driving,2,124,0,0,0,0,0,9.613611286,1,0,0,0,0,0,1,51,15924,144,0.000125597,0.009042954,-4.276666119,-8.26513563,-3.96081317,-0.916290732,71.02284145,114.2951633,71.03855954,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.613611286,0,0,0,0,0,0,0,0,0,0,0,0
9001,LowIncome,Commute,Overnight,34025,CTS,NJS,carpool,4,113.25,0,0,0,0,0,5.676678063,0,0,0,0,0,1,1,56,15924,144,0.000251193,0.009042954,-3.583518938,-7.17395832,-3.267665989,-0.223143551,71.01885094,114.309653,71.04756544,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.676678063,0,0,0,0,0,0,0,0,0,0,0,0
9001,LowIncome,Commute,Overnight,34025,CTS,NJS,driving,1,151,0,0,0,0,0,11.35335613,1,0,0,0,0,0,1,57,15924,144,6.28E-05,0.009042954,-4.9698133,-8.95828281,-4.65396035,-1.609437912,71.02448777,114.2879198,71.03405745,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.35335613,0,0,0,0,0,0,0,0,0,0,0,0
9001,LowIncome,Commute,Overnight,34027,CTS,NJS,carpool,2,103.5,0,0,0,0,0,4.091682691,0,0,0,0,0,1,1,62,15924,144,0.000125597,0.009042954,-4.276666119,-7.8671055,-3.96081317,-1.098612289,71.02544001,114.2951633,71.03855954,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.091682691,0,0,0,0,0,0,0,0,0,0,0,0
9001,LowIncome,Commute,Overnight,34027,CTS,NJS,driving,4,113.5,0,0,0,0,0,8.183365383,1,0,0,0,0,0,1,63,15924,144,0.000251193,0.009042954,-3.583518938,-7.571988449,-3.267665989,-0.405465108,71.01878755,114.309653,71.04756544,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.183365383,0,0,0,0,0,0,0,0,0,0,0,0
