origin_county,O_CRZ,Pop_group,Trip_purpose,Time_period,Trip_num_Total,Trip_num_inCSA,Trip_num_outsideCSA,Num_Residents
34003,false,LowIncome,Other,Peak,228719,228178,541,97680
36061,true,Senior,Commute,Peak,151847,151314,533,296849
34019,false,Student,Other,Peak,21788,20478,1310,28326
36071,false,NotLowIncome,Commute,Overnight,22328,22133,195,162769
09001,false,Student,Other,Peak,189127,188438,689,251478
36027,false,Senior,Other,Overnight,13285,13136,149,55563
36071,false,Student,Commute,Peak,179992,179544,448,110478
36027,false,NotLowIncome,Other,Peak,302494,300507,1987,131061
36103,false,LowIncome,Commute,Overnight,23059,22941,118,196752
09009,false,Senior,Other,Peak,185872,179215,6657,159985
34035,false,Senior,Commute,Peak,37268,36798,470,58035
36027,false,Student,Other,Peak,67988,67460,528,70555
36103,false,Student,Other,Overnight,49617,49436,181,366810
36005,false,LowIncome,Other,Overnight,90254,89700,554,469491
36085,false,Senior,Other,Overnight,17552,17443,109,85132
09009,false,NotLowIncome,Commute,Peak,596284,567217,29067,355724
34037,false,NotLowIncome,Other,Peak,156256,154785,1471,72418
36005,false,Student,Other,Overnight,29196,29029,167,399400
34023,false,Student,Other,Overnight,31701,31480,221,223943
34019,false,Student,Commute,Overnight,848,806,42,28326
34023,false,Student,Commute,Overnight,11284,11207,77,223943
36119,false,NotLowIncome,Commute,Overnight,57538,57320,218,439228
34013,false,Student,Other,Overnight,22306,22130,176,220250
36119,false,NotLowIncome,Other,Overnight,171145,170131,1014,439228
34023,false,Senior,Commute,Peak,87643,86687,956,137999
36047,false,NotLowIncome,Commute,Overnight,106181,105817,364,1017596
34023,false,Senior,Commute,Overnight,11393,11184,209,137999
36079,false,Student,Other,Peak,17741,17703,38,21976
34013,false,LowIncome,Other,Overnight,51479,51141,338,186471
36081,false,LowIncome,Commute,Overnight,45529,45254,275,519866
34023,false,NotLowIncome,Commute,Overnight,50281,49958,323,393651
34027,false,Senior,Commute,Peak,63565,62708,857,92744
34039,false,LowIncome,Other,Peak,179481,178744,737,93062
36079,false,NotLowIncome,Other,Overnight,18949,18846,103,48496
34017,false,Student,Other,Peak,72946,72762,184,155738
